file_name,file_id,sentence_text,church_father_id,church_father_name,footnote_text,citation_parsed,detection_source,reference_type,patristic_work,patristic_text,confidence,notes
11567.xml,file11567,"Quare alias videbaturM: ut alias videretur anstelle von Quare alias videbatur. recte dicere: „fide propter Christum iusti sumus“, alias contra: „propter donatas virtutes iusti sumus“, quemadmodum ThomasThomas von Aquin. aut Plato loqui soletM: ut Thomas seu ut Plato loquitur anstelle von quemadmodum Thomas aut Plato loqui solet..Zur Vermischung von traditionellen und reformatorischen Elementen in der ursprünglichen Fassung des Rechtfertigungsartikels vgl. Lexutt 176-215.",p18357,Thomas von Aquin,,,TEI,,,,,
11567.xml,file11567,"Quare alias videbaturM: ut alias videretur anstelle von Quare alias videbatur. recte dicere: „fide propter Christum iusti sumus“, alias contra: „propter donatas virtutes iusti sumus“, quemadmodum ThomasThomas von Aquin. aut Plato loqui soletM: ut Thomas seu ut Plato loquitur anstelle von quemadmodum Thomas aut Plato loqui solet..Zur Vermischung von traditionellen und reformatorischen Elementen in der ursprünglichen Fassung des Rechtfertigungsartikels vgl. Lexutt 176-215.",p18357,Thomas von Aquin,,,TEI,,,,,
11567.xml,file11567,"Quare alias videbaturM: ut alias videretur anstelle von Quare alias videbatur. recte dicere: „fide propter Christum iusti sumus“, alias contra: „propter donatas virtutes iusti sumus“, quemadmodum ThomasThomas von Aquin. aut Plato loqui soletM: ut Thomas seu ut Plato loquitur anstelle von quemadmodum Thomas aut Plato loqui solet..Zur Vermischung von traditionellen und reformatorischen Elementen in der ursprünglichen Fassung des Rechtfertigungsartikels vgl. Lexutt 176-215.",p18357,Thomas von Aquin,,,TEI,,,,,
12046.xml,file12046,"Quemadmodum d[ivus] Aurelius Augusti[nus] alicubi Donatistis obiicit, ut a divo Petro ad AnastasiumPapst Anastasius I., gest. 401. usque sibi in tanto succedentium numero vel unum, qui rebaptizationem adprobarit, ostendant,Bartholomäus bezieht sich auf Augustin, Epist. 53, 2 (CChr-L XXXI 222, 30-45). Siehe dazu Arne Hogrefe, Umstrittene Vergangenheit. Historische Argumente in der Auseinandersetzung Augustins mit den Donatisten, Berlin 2009, S. 129-145. ita nos iam confidenter ab adversariis petimus, ut aliquem saltem non solum Novi Testamenti, sed Veteris quoque sanctum sive iustum ostendant, qui operibus et non fide in promissionem divinam innitente iusticiam, sanctificationem et salutem consecutus sitFür freundliche Hilfe zum Verständnis dieser Argumentation danken wir Frau Prof. Dr. Silke-Petra Bergjan..",p18700,Augustinus von Hippo,"Bartholomäus bezieht sich auf Augustin, Epist. 53, 2 (CChr-L XXXI 222, 30-45). Siehe dazu Arne Hogrefe, Umstrittene Vergangenheit. Historische Argumente in der Auseinandersetzung Augustins mit den Donatisten, Berlin 2009, S. 129-145.","Augustin, Epist. 53, 2 (CChr-L XXXI 222, 30-45).  dazu Arne Hogrefe",TEI,,,,,
12046.xml,file12046,"Quemadmodum d[ivus] Aurelius Augusti[nus] alicubi Donatistis obiicit, ut a divo Petro ad AnastasiumPapst Anastasius I., gest. 401. usque sibi in tanto succedentium numero vel unum, qui rebaptizationem adprobarit, ostendant,Bartholomäus bezieht sich auf Augustin, Epist. 53, 2 (CChr-L XXXI 222, 30-45). Siehe dazu Arne Hogrefe, Umstrittene Vergangenheit. Historische Argumente in der Auseinandersetzung Augustins mit den Donatisten, Berlin 2009, S. 129-145. ita nos iam confidenter ab adversariis petimus, ut aliquem saltem non solum Novi Testamenti, sed Veteris quoque sanctum sive iustum ostendant, qui operibus et non fide in promissionem divinam innitente iusticiam, sanctificationem et salutem consecutus sitFür freundliche Hilfe zum Verständnis dieser Argumentation danken wir Frau Prof. Dr. Silke-Petra Bergjan..",p18700,Augustinus von Hippo,"Bartholomäus bezieht sich auf Augustin, Epist. 53, 2 (CChr-L XXXI 222, 30-45). Siehe dazu Arne Hogrefe, Umstrittene Vergangenheit. Historische Argumente in der Auseinandersetzung Augustins mit den Donatisten, Berlin 2009, S. 129-145.","Augustin, Epist. 53, 2 (CChr-L XXXI 222, 30-45).  dazu Arne Hogrefe",TEI,,,,,
10137.xml,file10137,"Dann wir ye nittnach nitt gestrichenes anders. werdent noch könnendnach könnend über der Zeile gestrichenes an. vonn den worten Christi „Das ist min lib“ [Lk 22, 19; 1Kor 11, 24] annderannder über der Zeile nachgetragen. reden dann der herr selbs, dernach der gestrichenes gespro. grad daruff geredt: „Sölchs thuͦnd ze miner gedechtnuß“ [ebd.], dorumb ouch Tertullianus, Ambrosius, Augustinus und Chrysostomus, ouch diser Bertramouch diser Bertram unter der Zeile nachgetragen., per figuram.",p17746,Quintus Septimius Florens Tertullian,,,TEI,,,,,
10137.xml,file10137,"Dann wir ye nittnach nitt gestrichenes anders. werdent noch könnendnach könnend über der Zeile gestrichenes an. vonn den worten Christi „Das ist min lib“ [Lk 22, 19; 1Kor 11, 24] annderannder über der Zeile nachgetragen. reden dann der herr selbs, dernach der gestrichenes gespro. grad daruff geredt: „Sölchs thuͦnd ze miner gedechtnuß“ [ebd.], dorumb ouch Tertullianus, Ambrosius, Augustinus und Chrysostomus, ouch diser Bertramouch diser Bertram unter der Zeile nachgetragen., per figuram.",p18993,Ambrosius von Mailand,,,TEI,,,,,
10137.xml,file10137,"Dann wir ye nittnach nitt gestrichenes anders. werdent noch könnendnach könnend über der Zeile gestrichenes an. vonn den worten Christi „Das ist min lib“ [Lk 22, 19; 1Kor 11, 24] annderannder über der Zeile nachgetragen. reden dann der herr selbs, dernach der gestrichenes gespro. grad daruff geredt: „Sölchs thuͦnd ze miner gedechtnuß“ [ebd.], dorumb ouch Tertullianus, Ambrosius, Augustinus und Chrysostomus, ouch diser Bertramouch diser Bertram unter der Zeile nachgetragen., per figuram.",p18700,Augustinus von Hippo,,,TEI,,,,,
10137.xml,file10137,"Dann wir ye nittnach nitt gestrichenes anders. werdent noch könnendnach könnend über der Zeile gestrichenes an. vonn den worten Christi „Das ist min lib“ [Lk 22, 19; 1Kor 11, 24] annderannder über der Zeile nachgetragen. reden dann der herr selbs, dernach der gestrichenes gespro. grad daruff geredt: „Sölchs thuͦnd ze miner gedechtnuß“ [ebd.], dorumb ouch Tertullianus, Ambrosius, Augustinus und Chrysostomus, ouch diser Bertramouch diser Bertram unter der Zeile nachgetragen., per figuram.",p4541,Johannes Chrysostomus,,,TEI,,,,,
11229.xml,file11229,"Preterea veterum aliquot sententias adfert, sed meo iuditio detortas; nam praeter Augustinum et ChrysostomumVgl. unten Nr. 1200, 60f. possum citare centuriam aliorum patrum, qui apertis verbis testantur Christum ut hominem esse creaturam.",p18700,Augustinus von Hippo,"Vgl. unten Nr. 1200, 60f.","unten Nr. 1200, 60f.",TEI,,,,,
11229.xml,file11229,"Preterea veterum aliquot sententias adfert, sed meo iuditio detortas; nam praeter Augustinum et ChrysostomumVgl. unten Nr. 1200, 60f. possum citare centuriam aliorum patrum, qui apertis verbis testantur Christum ut hominem esse creaturam.",p4541,Johannes Chrysostomus,"Vgl. unten Nr. 1200, 60f.","unten Nr. 1200, 60f.",TEI,,,,,
11229.xml,file11229,"Nihil apertius Hieronymo super 2. capite EphesiorumMPL XXVI 501f., Ambrosio quoque Philippensium 2Gedacht ist an Ambrosiasters Auslegung von Phil 2, 9 (CSEL LXXXI/3 141-145); vgl. Frecht an Capito, 31. Oktober 1538 (Capito, Corr. 244, Nr. 694)..",p18986,Sophronius Eusebius Hieronymus,"Gedacht ist an Ambrosiasters Auslegung von Phil 2, 9 (CSEL LXXXI/3 141-145); vgl. Frecht an Capito, 31. Oktober 1538 (Capito, Corr. 244, Nr. 694).","Gedacht ist an Ambrosiasters Auslegung von Phil 2, 9 (CSEL LXXXI/3 141-145); vgl. Frecht an Capito, 31. Oktober 1538 (Capito, Corr. 244, Nr. 694).",TEI,,,,,
11229.xml,file11229,"Nihil apertius Hieronymo super 2. capite EphesiorumMPL XXVI 501f., Ambrosio quoque Philippensium 2Gedacht ist an Ambrosiasters Auslegung von Phil 2, 9 (CSEL LXXXI/3 141-145); vgl. Frecht an Capito, 31. Oktober 1538 (Capito, Corr. 244, Nr. 694)..",p18993,Ambrosius von Mailand,"Gedacht ist an Ambrosiasters Auslegung von Phil 2, 9 (CSEL LXXXI/3 141-145); vgl. Frecht an Capito, 31. Oktober 1538 (Capito, Corr. 244, Nr. 694).","Gedacht ist an Ambrosiasters Auslegung von Phil 2, 9 (CSEL LXXXI/3 141-145); vgl. Frecht an Capito, 31. Oktober 1538 (Capito, Corr. 244, Nr. 694).",TEI,,,,,
12697.xml,file12697,"Titillant hę, blandiuntur,Vgl. Ps. - Augustin, Sermo 128, 11 (MPL XXXVIII 718). suaves sunt.",p18700,Augustinus von Hippo,"Vgl. Ps. - Augustin, Sermo 128, 11 (MPL XXXVIII 718).","Augustin, Sermo 128, 11 (MPL XXXVIII 718).",TEI,,,,,
2262.xml,file2262,"Nescio, num audieris Iulium Mediolanensem edidisse libellum contra Lactantium eum, qui Genevae degit.",p19001,Lucius Caecilius Firmianus Lactantius (Laktanz),,,TEI,,,,,
10043.xml,file10043,"Ita zelo dei, frater mi, adversus sanguinariumDie Anschuldigung der Blutrünstigkeit der Katholiken erhebt Bullinger auch in seiner Schrift «Verglichung der uralten und unser zyten kätzeryen», Zürich 1526, Bl. C iij r.: «Oder wie könnend ir Doctoren / die doch wüssend das wir recht lerend / unnd ee muß himel und erden brechen / dann ützid daruon fallen / uns armen schefflin / über alles anbieten unnd bitten / so unmenschlich uff den fleischbanck geben?» Zwingli wirft Fabri in seiner Schrift «Über den ungesandten Sendbrief Fabers Zwinglis Antwort», 1526, ebenfalls Blutrünstigkeit vor und bezieht sich dabei auf eine Augsburger Predigt Fabris, wobei dieser gesagt haben soll: «es tüge summa summarum nit gut, man lege dann die klingen uff sölche prediger», Z V 47,7f (vgl. auch Z V 129,22ff). FabrumJohannes Fabri (Heigerlin), 1478-1541, studierte in Tübingen und Freiburg, Dr. iuris utriusque; Pfarrer in Leutkirch und Lindau, dann Kanonikus und Offizial in Basel, 1518 - 1523 Generalvikar in Konstanz, hierauf in den Diensten Erzherzog Ferdinands von Österreich, 1530 Bischof von Wien. Obwohl ursprünglich kirchlichen Reformen nicht abgeneigt und mit Zwingli und Erasmus befreundet, wurde Fabri doch nach 1523 einer der schärfsten Gegner der Zürcher Reformation, s. Leo Helbling, Dr. Johann Fabri, Generalvikar von Konstanz und Bischof von Wien, 1478-1541. Beiträge zu seiner Lebensgeschichte, Münster i. W. 1941. - RGST 67/68. Über Fabris Verhältnis zur schweizerischen Reformation s. Leo Helbling, Dr. Johann Fabri und die schweizerische Reformation, Diss. phil. FreiburgSchweiz, Einsiedeln o. J. - Die Entrüstung Bullingers über Fabri dürfte auf dessen Angriffe gegen die Evangelischen in der Schrift «Ein Sandbrieff Doctor Johann Fabri an Ulrich Zuinglin Maister zu Zürich», 1526, (s. dazu Helbling, Beiträge, S. 140; Z V 43, Anm. 1; Leonhard von Muralt, Die Badener Disputation 1526, Leipzig 1926. -QASRG III, S. 69ff) zurückgehen. Hier wirft Fabri Zwingli und seinen Anhängern u. a. vor, sie trieben Bilderstürmerei (Bl. a ij v.), hätten Lobgesänge (Bl. a ij v.) und Gottesdienste (Bl. a iiij r.) abgeschafft, schmähten das Sakrament (Bl. a ij v.) und verkauften Meßgewänder (Bl. a iiij r.). Nach Bullingers Überzeugung entkräften Ambrosius (s. unten Anm. 6) und Laktanz (s. unten Anm. 7) die Anklagen Fabris und beweisen die Berechtigung des reformatorischen Vorgehens. suique similes lugurthasJugurtha, König von Numidien und Gaetulum, etwa 160-104, gefährdete durch seine Gewalttätigkeit, Bestechungskünste und listigen Machenschaften jahrelang die römische Republik (Pauly/Wissowa XIX 1-6); er wurde in der Reformationszeit häufig als Beispiel der Grausamkeit und Gewalttätigkeit herangezogen (vgl. Z I 182, 4-14; Fabri wird mit Jugurtha verglichen in Z V 146, 8). excandeoEigentlich excandesco: ergrimmen, in Jähzorn geraten., ut ipse mihi temperare non potuerim, quin haec pauca moneremus, nempe ut legas Ambrosii 2. lib. offitiorum cap. 28Ambrosius, De officiis ministrorum, II, 28 (MPL XVI 148-150). Über die Auslegung einer anderen Ambrosiusstelle stritten sich Fabri und Zwingli, s. Z V 138, 7ff. et Lactantium in 6, «De vero cultu» cap. 25Laktanz, Divinae institutiones, lib. VI: «De vero cultu», 25 (CSEL XIX 577-580).; sic, ut ex ipsis patribus ThrasonisThraso ist der Name des prahlerischen Soldaten im Eunuchus des Terenz, s. Adagia, prolegomena (LB II 13 B). profligetur impietas, qua impulsus pauperibus detrahit, harpigiisharpigium, Nebenform zu harpago. vero papisticis convehit et insontes sacrilegii accusat, scilicet quod ecclesiam dei, hoc est larvas, ficulneosErgänze homines oder ähnliches; das Adjektiv ficulnus (bzw. griech. σύκινος wurde wegen der Eigenschaft des Holzes im Altertum in der Bedeutung «schwach» gebraucht und kommt in Sprichwörtern und sprichwörtlichen Redensarten vor, s. Pauly/Wissowa XII 2143; Adagia, 1, 7, 85 (LB II 295f). In der christlichen Tradition kommt durch Mk 11,13ff par. das Motiv der Unfruchtbarkeit noch hinzu, s. z. B. Augustin, Sermo 89 (MPL XXXVIII 5531) und S VI/I 358., lamias, lemures et lares spoliaverint.",p18993,Ambrosius von Mailand,"Ergänze homines oder ähnliches; das Adjektiv ficulnus (bzw. griech. σύκινος wurde wegen der Eigenschaft des Holzes im Altertum in der Bedeutung «schwach» gebraucht und kommt in Sprichwörtern und sprichwörtlichen Redensarten vor, s. Pauly/Wissowa XII 2143; Adagia, 1, 7, 85 (LB II 295f). In der christlichen Tradition kommt durch Mk 11,13ff par. das Motiv der Unfruchtbarkeit noch hinzu, s. z. B. Augustin, Sermo 89 (MPL XXXVIII 5531) und S VI/I 358.","Adagia, 1, 7, 85 (LB II 295f). In der christlichen Tradition kommt durch Mk 11,13ff par. das Motiv der Unfruchtbarkeit noch hinzu",TEI,,,,,
10043.xml,file10043,"Ita zelo dei, frater mi, adversus sanguinariumDie Anschuldigung der Blutrünstigkeit der Katholiken erhebt Bullinger auch in seiner Schrift «Verglichung der uralten und unser zyten kätzeryen», Zürich 1526, Bl. C iij r.: «Oder wie könnend ir Doctoren / die doch wüssend das wir recht lerend / unnd ee muß himel und erden brechen / dann ützid daruon fallen / uns armen schefflin / über alles anbieten unnd bitten / so unmenschlich uff den fleischbanck geben?» Zwingli wirft Fabri in seiner Schrift «Über den ungesandten Sendbrief Fabers Zwinglis Antwort», 1526, ebenfalls Blutrünstigkeit vor und bezieht sich dabei auf eine Augsburger Predigt Fabris, wobei dieser gesagt haben soll: «es tüge summa summarum nit gut, man lege dann die klingen uff sölche prediger», Z V 47,7f (vgl. auch Z V 129,22ff). FabrumJohannes Fabri (Heigerlin), 1478-1541, studierte in Tübingen und Freiburg, Dr. iuris utriusque; Pfarrer in Leutkirch und Lindau, dann Kanonikus und Offizial in Basel, 1518 - 1523 Generalvikar in Konstanz, hierauf in den Diensten Erzherzog Ferdinands von Österreich, 1530 Bischof von Wien. Obwohl ursprünglich kirchlichen Reformen nicht abgeneigt und mit Zwingli und Erasmus befreundet, wurde Fabri doch nach 1523 einer der schärfsten Gegner der Zürcher Reformation, s. Leo Helbling, Dr. Johann Fabri, Generalvikar von Konstanz und Bischof von Wien, 1478-1541. Beiträge zu seiner Lebensgeschichte, Münster i. W. 1941. - RGST 67/68. Über Fabris Verhältnis zur schweizerischen Reformation s. Leo Helbling, Dr. Johann Fabri und die schweizerische Reformation, Diss. phil. FreiburgSchweiz, Einsiedeln o. J. - Die Entrüstung Bullingers über Fabri dürfte auf dessen Angriffe gegen die Evangelischen in der Schrift «Ein Sandbrieff Doctor Johann Fabri an Ulrich Zuinglin Maister zu Zürich», 1526, (s. dazu Helbling, Beiträge, S. 140; Z V 43, Anm. 1; Leonhard von Muralt, Die Badener Disputation 1526, Leipzig 1926. -QASRG III, S. 69ff) zurückgehen. Hier wirft Fabri Zwingli und seinen Anhängern u. a. vor, sie trieben Bilderstürmerei (Bl. a ij v.), hätten Lobgesänge (Bl. a ij v.) und Gottesdienste (Bl. a iiij r.) abgeschafft, schmähten das Sakrament (Bl. a ij v.) und verkauften Meßgewänder (Bl. a iiij r.). Nach Bullingers Überzeugung entkräften Ambrosius (s. unten Anm. 6) und Laktanz (s. unten Anm. 7) die Anklagen Fabris und beweisen die Berechtigung des reformatorischen Vorgehens. suique similes lugurthasJugurtha, König von Numidien und Gaetulum, etwa 160-104, gefährdete durch seine Gewalttätigkeit, Bestechungskünste und listigen Machenschaften jahrelang die römische Republik (Pauly/Wissowa XIX 1-6); er wurde in der Reformationszeit häufig als Beispiel der Grausamkeit und Gewalttätigkeit herangezogen (vgl. Z I 182, 4-14; Fabri wird mit Jugurtha verglichen in Z V 146, 8). excandeoEigentlich excandesco: ergrimmen, in Jähzorn geraten., ut ipse mihi temperare non potuerim, quin haec pauca moneremus, nempe ut legas Ambrosii 2. lib. offitiorum cap. 28Ambrosius, De officiis ministrorum, II, 28 (MPL XVI 148-150). Über die Auslegung einer anderen Ambrosiusstelle stritten sich Fabri und Zwingli, s. Z V 138, 7ff. et Lactantium in 6, «De vero cultu» cap. 25Laktanz, Divinae institutiones, lib. VI: «De vero cultu», 25 (CSEL XIX 577-580).; sic, ut ex ipsis patribus ThrasonisThraso ist der Name des prahlerischen Soldaten im Eunuchus des Terenz, s. Adagia, prolegomena (LB II 13 B). profligetur impietas, qua impulsus pauperibus detrahit, harpigiisharpigium, Nebenform zu harpago. vero papisticis convehit et insontes sacrilegii accusat, scilicet quod ecclesiam dei, hoc est larvas, ficulneosErgänze homines oder ähnliches; das Adjektiv ficulnus (bzw. griech. σύκινος wurde wegen der Eigenschaft des Holzes im Altertum in der Bedeutung «schwach» gebraucht und kommt in Sprichwörtern und sprichwörtlichen Redensarten vor, s. Pauly/Wissowa XII 2143; Adagia, 1, 7, 85 (LB II 295f). In der christlichen Tradition kommt durch Mk 11,13ff par. das Motiv der Unfruchtbarkeit noch hinzu, s. z. B. Augustin, Sermo 89 (MPL XXXVIII 5531) und S VI/I 358., lamias, lemures et lares spoliaverint.",p19001,Lucius Caecilius Firmianus Lactantius (Laktanz),"Ergänze homines oder ähnliches; das Adjektiv ficulnus (bzw. griech. σύκινος wurde wegen der Eigenschaft des Holzes im Altertum in der Bedeutung «schwach» gebraucht und kommt in Sprichwörtern und sprichwörtlichen Redensarten vor, s. Pauly/Wissowa XII 2143; Adagia, 1, 7, 85 (LB II 295f). In der christlichen Tradition kommt durch Mk 11,13ff par. das Motiv der Unfruchtbarkeit noch hinzu, s. z. B. Augustin, Sermo 89 (MPL XXXVIII 5531) und S VI/I 358.","Adagia, 1, 7, 85 (LB II 295f). In der christlichen Tradition kommt durch Mk 11,13ff par. das Motiv der Unfruchtbarkeit noch hinzu",TEI,,,,,
